# material: nickel 
# phonon heat capacity (DFT calculation spin resolved) 
# temperature [K], heat capacity [J/(m^3K)] 
0806.34 3.744636e+06
0809.68 3.744965e+06
0813.02 3.745291e+06
0816.36 3.745612e+06
0819.70 3.745930e+06
0823.04 3.746244e+06
0826.38 3.746554e+06
0829.72 3.746860e+06
0833.06 3.747163e+06
0836.39 3.747462e+06
0839.73 3.747757e+06
0843.07 3.748049e+06
0846.41 3.748338e+06
0849.75 3.748623e+06
0853.09 3.748905e+06
0856.43 3.749184e+06
0859.77 3.749459e+06
0863.11 3.749732e+06
0866.44 3.750001e+06
0869.78 3.750267e+06
0873.12 3.750530e+06
0876.46 3.750791e+06
0879.80 3.751048e+06
0883.14 3.751302e+06
0886.48 3.751554e+06
0889.82 3.751802e+06
0893.16 3.752048e+06
0896.49 3.752291e+06
0899.83 3.752532e+06
0903.17 3.752770e+06
0906.51 3.753005e+06
0909.85 3.753238e+06
0913.19 3.753468e+06
0916.53 3.753696e+06
0919.87 3.753921e+06
0923.21 3.754144e+06
0926.54 3.754364e+06
0929.88 3.754583e+06
0933.22 3.754798e+06
0936.56 3.755012e+06
0939.90 3.755223e+06
0943.24 3.755432e+06
0946.58 3.755639e+06
0949.92 3.755844e+06
0953.26 3.756046e+06
0956.59 3.756247e+06
0959.93 3.756445e+06
0963.27 3.756641e+06
0966.61 3.756836e+06
0969.95 3.757028e+06
0973.29 3.757218e+06
0976.63 3.757407e+06
0979.97 3.757593e+06
0983.31 3.757778e+06
0986.64 3.757961e+06
0989.98 3.758142e+06
0993.32 3.758321e+06
0996.66 3.758498e+06
1000.00 3.758674e+06
1003.34 3.758847e+06
1006.68 3.759020e+06
1010.02 3.759190e+06
1013.36 3.759359e+06
1016.69 3.759526e+06
1020.03 3.759691e+06
1023.37 3.759855e+06
1026.71 3.760017e+06
1030.05 3.760178e+06
1033.39 3.760337e+06
1036.73 3.760495e+06
1040.07 3.760651e+06
1043.41 3.760806e+06
1046.74 3.760959e+06
1050.08 3.761111e+06
1053.42 3.761261e+06
1056.76 3.761410e+06
