# material: cobalt 
# phonon heat capacity (DFT calculation spin resolved) 
# temperature [K], heat capacity [J/(m^3K)] 
0806.34 3.699994e+06
0809.68 3.700317e+06
0813.02 3.700637e+06
0816.36 3.700952e+06
0819.70 3.701264e+06
0823.04 3.701572e+06
0826.38 3.701877e+06
0829.72 3.702178e+06
0833.06 3.702475e+06
0836.39 3.702769e+06
0839.73 3.703059e+06
0843.07 3.703346e+06
0846.41 3.703629e+06
0849.75 3.703909e+06
0853.09 3.704186e+06
0856.43 3.704460e+06
0859.77 3.704730e+06
0863.11 3.704998e+06
0866.44 3.705262e+06
0869.78 3.705524e+06
0873.12 3.705782e+06
0876.46 3.706038e+06
0879.80 3.706290e+06
0883.14 3.706540e+06
0886.48 3.706787e+06
0889.82 3.707031e+06
0893.16 3.707273e+06
0896.49 3.707512e+06
0899.83 3.707748e+06
0903.17 3.707981e+06
0906.51 3.708213e+06
0909.85 3.708441e+06
0913.19 3.708667e+06
0916.53 3.708891e+06
0919.87 3.709112e+06
0923.21 3.709331e+06
0926.54 3.709547e+06
0929.88 3.709762e+06
0933.22 3.709973e+06
0936.56 3.710183e+06
0939.90 3.710391e+06
0943.24 3.710596e+06
0946.58 3.710799e+06
0949.92 3.711000e+06
0953.26 3.711199e+06
0956.59 3.711396e+06
0959.93 3.711591e+06
0963.27 3.711783e+06
0966.61 3.711974e+06
0969.95 3.712163e+06
0973.29 3.712350e+06
0976.63 3.712535e+06
0979.97 3.712718e+06
0983.31 3.712899e+06
0986.64 3.713079e+06
0989.98 3.713257e+06
0993.32 3.713433e+06
0996.66 3.713607e+06
1000.00 3.713779e+06
1003.34 3.713950e+06
1006.68 3.714119e+06
1010.02 3.714286e+06
1013.36 3.714452e+06
1016.69 3.714616e+06
1020.03 3.714779e+06
1023.37 3.714940e+06
1026.71 3.715099e+06
1030.05 3.715257e+06
1033.39 3.715413e+06
1036.73 3.715568e+06
1040.07 3.715721e+06
1043.41 3.715873e+06
1046.74 3.716024e+06
1050.08 3.716173e+06
1053.42 3.716320e+06
1056.76 3.716466e+06
1060.10 3.716611e+06
1063.44 3.716755e+06
1066.78 3.716897e+06
1070.12 3.717038e+06
1073.46 3.717177e+06
1076.79 3.717316e+06
1080.13 3.717453e+06
1083.47 3.717588e+06
1086.81 3.717723e+06
1090.15 3.717856e+06
1093.49 3.717988e+06
1096.83 3.718119e+06
1100.17 3.718249e+06
1103.51 3.718377e+06
1106.84 3.718504e+06
1110.18 3.718631e+06
1113.52 3.718756e+06
1116.86 3.718880e+06
1120.20 3.719002e+06
1123.54 3.719124e+06
1126.88 3.719245e+06
1130.22 3.719365e+06
1133.56 3.719483e+06
1136.89 3.719601e+06
1140.23 3.719717e+06
1143.57 3.719833e+06
1146.91 3.719947e+06
1150.25 3.720061e+06
1153.59 3.720173e+06
1156.93 3.720285e+06
1160.27 3.720395e+06
1163.61 3.720505e+06
1166.94 3.720614e+06
1170.28 3.720722e+06
1173.62 3.720828e+06
1176.96 3.720934e+06
1180.30 3.721040e+06
1183.64 3.721144e+06
1186.98 3.721247e+06
1190.32 3.721349e+06
1193.66 3.721451e+06
1196.99 3.721552e+06
1200.33 3.721652e+06
1203.67 3.721751e+06
1207.01 3.721849e+06
1210.35 3.721947e+06
1213.69 3.722043e+06
1217.03 3.722139e+06
1220.37 3.722234e+06
1223.71 3.722329e+06
1227.05 3.722422e+06
1230.38 3.722515e+06
1233.72 3.722607e+06
1237.06 3.722698e+06
1240.40 3.722789e+06
1243.74 3.722879e+06
1247.08 3.722968e+06
1250.42 3.723056e+06
1253.76 3.723144e+06
