# material: cobalt 
# electron-phonon coupling parameter G_ep, sum of majority and minority contributions (DFT calculation spin resolved) 
# temperature [K], g_ep [W/(m^3K)] 
0801.34 1.767059e+18
0804.67 1.767823e+18
0808.01 1.768589e+18
0811.35 1.769358e+18
0814.69 1.770128e+18
0818.03 1.770901e+18
0821.37 1.771676e+18
0824.71 1.772454e+18
0828.05 1.773234e+18
0831.39 1.774017e+18
0834.72 1.774802e+18
0838.06 1.775590e+18
0841.40 1.776381e+18
0844.74 1.777174e+18
0848.08 1.777971e+18
0851.42 1.778770e+18
0854.76 1.779572e+18
0858.10 1.780377e+18
0861.44 1.781186e+18
0864.77 1.781997e+18
0868.11 1.782812e+18
0871.45 1.783630e+18
0874.79 1.784451e+18
0878.13 1.785276e+18
0881.47 1.786104e+18
0884.81 1.786935e+18
0888.15 1.787770e+18
0891.49 1.788608e+18
0894.82 1.789450e+18
0898.16 1.790296e+18
0901.50 1.791146e+18
0904.84 1.791999e+18
0908.18 1.792856e+18
0911.52 1.793716e+18
0914.86 1.794581e+18
0918.20 1.795449e+18
0921.54 1.796322e+18
0924.87 1.797198e+18
0928.21 1.798079e+18
0931.55 1.798963e+18
0934.89 1.799852e+18
0938.23 1.800745e+18
0941.57 1.801642e+18
0944.91 1.802543e+18
0948.25 1.803449e+18
0951.59 1.804359e+18
0954.92 1.805273e+18
0958.26 1.806192e+18
0961.60 1.807115e+18
0964.94 1.808043e+18
0968.28 1.808975e+18
0971.62 1.809911e+18
0974.96 1.810853e+18
0978.30 1.811799e+18
0981.64 1.812749e+18
0984.97 1.813704e+18
0988.31 1.814664e+18
0991.65 1.815629e+18
0994.99 1.816598e+18
0998.33 1.817572e+18
1001.67 1.818551e+18
1005.01 1.819535e+18
1008.35 1.820524e+18
1011.69 1.821517e+18
1015.03 1.822516e+18
1018.36 1.823520e+18
1021.70 1.824528e+18
1025.04 1.825542e+18
1028.38 1.826560e+18
1031.72 1.827584e+18
1035.06 1.828613e+18
1038.40 1.829647e+18
1041.74 1.830686e+18
1045.08 1.831730e+18
1048.41 1.832780e+18
1051.75 1.833835e+18
1055.09 1.834895e+18
1058.43 1.835960e+18
1061.77 1.837030e+18
1065.11 1.838106e+18
1068.45 1.839187e+18
1071.79 1.840274e+18
1075.13 1.841366e+18
1078.46 1.842463e+18
1081.80 1.843566e+18
1085.14 1.844674e+18
1088.48 1.845787e+18
1091.82 1.846906e+18
1095.16 1.848031e+18
1098.50 1.849160e+18
1101.84 1.850296e+18
1105.18 1.851437e+18
1108.51 1.852583e+18
1111.85 1.853735e+18
1115.19 1.854893e+18
1118.53 1.856056e+18
1121.87 1.857225e+18
1125.21 1.858399e+18
1128.55 1.859579e+18
1131.89 1.860765e+18
1135.23 1.861956e+18
1138.56 1.863153e+18
1141.90 1.864356e+18
1145.24 1.865564e+18
1148.58 1.866778e+18
1151.92 1.867997e+18
1155.26 1.869223e+18
1158.60 1.870454e+18
1161.94 1.871691e+18
1165.28 1.872933e+18
1168.61 1.874181e+18
1171.95 1.875435e+18
1175.29 1.876695e+18
1178.63 1.877961e+18
1181.97 1.879232e+18
1185.31 1.880509e+18
1188.65 1.881792e+18
1191.99 1.883080e+18
1195.33 1.884375e+18
1198.66 1.885675e+18
1202.00 1.886981e+18
1205.34 1.888292e+18
1208.68 1.889610e+18
1212.02 1.890933e+18
1215.36 1.892262e+18
1218.70 1.893597e+18
1222.04 1.894938e+18
1225.38 1.896285e+18
1228.71 1.897637e+18
1232.05 1.898995e+18
1235.39 1.900359e+18
1238.73 1.901729e+18
1242.07 1.903105e+18
1245.41 1.904486e+18
1248.75 1.905874e+18
1252.09 1.907267e+18
1255.43 1.908666e+18
1258.76 1.910070e+18
1262.10 1.911481e+18
1265.44 1.912897e+18
1268.78 1.914319e+18
1272.12 1.915747e+18
1275.46 1.917181e+18
1278.80 1.918621e+18
1282.14 1.920066e+18
1285.48 1.921517e+18
1288.81 1.922974e+18
1292.15 1.924437e+18
1295.49 1.925905e+18
1298.83 1.927379e+18
1302.17 1.928859e+18
1305.51 1.930345e+18
1308.85 1.931837e+18
1312.19 1.933334e+18
1315.53 1.934837e+18
1318.86 1.936346e+18
1322.20 1.937860e+18
1325.54 1.939380e+18
1328.88 1.940906e+18
1332.22 1.942438e+18
1335.56 1.943975e+18
1338.90 1.945518e+18
1342.24 1.947066e+18
1345.58 1.948621e+18
1348.91 1.950181e+18
1352.25 1.951746e+18
1355.59 1.953318e+18
1358.93 1.954894e+18
1362.27 1.956477e+18
1365.61 1.958065e+18
1368.95 1.959659e+18
1372.29 1.961258e+18
1375.63 1.962863e+18
1378.96 1.964473e+18
1382.30 1.966089e+18
1385.64 1.967711e+18
1388.98 1.969338e+18
1392.32 1.970971e+18
1395.66 1.972609e+18
1399.00 1.974252e+18
1402.34 1.975901e+18
1405.68 1.977556e+18
1409.02 1.979216e+18
1412.35 1.980881e+18
1415.69 1.982552e+18
1419.03 1.984228e+18
1422.37 1.985910e+18
1425.71 1.987597e+18
1429.05 1.989290e+18
1432.39 1.990987e+18
1435.73 1.992690e+18
1439.07 1.994399e+18
1442.40 1.996113e+18
1445.74 1.997832e+18
1449.08 1.999556e+18
1452.42 2.001286e+18
1455.76 2.003021e+18
1459.10 2.004761e+18
1462.44 2.006506e+18
1465.78 2.008257e+18
1469.12 2.010012e+18
1472.45 2.011773e+18
1475.79 2.013539e+18
1479.13 2.015311e+18
1482.47 2.017087e+18
1485.81 2.018868e+18
1489.15 2.020655e+18
1492.49 2.022446e+18
1495.83 2.024243e+18
1499.17 2.026045e+18
1502.50 2.027851e+18
1505.84 2.029663e+18
1509.18 2.031479e+18
1512.52 2.033301e+18
1515.86 2.035128e+18
1519.20 2.036959e+18
1522.54 2.038795e+18
1525.88 2.040637e+18
1529.22 2.042482e+18
1532.55 2.044332e+18
1535.89 2.046186e+18
1539.23 2.048045e+18
1542.57 2.049910e+18
1545.91 2.051778e+18
1549.25 2.053652e+18
1552.59 2.055530e+18
1555.93 2.057413e+18
1559.27 2.059301e+18
1562.60 2.061193e+18
1565.94 2.063090e+18
1569.28 2.064992e+18
1572.62 2.066898e+18
1575.96 2.068808e+18
1579.30 2.070724e+18
1582.64 2.072643e+18
1585.98 2.074568e+18
1589.32 2.076496e+18
1592.65 2.078430e+18
1595.99 2.080367e+18
1599.33 2.082309e+18
1602.67 2.084256e+18
1606.01 2.086207e+18
1609.35 2.088162e+18
1612.69 2.090122e+18
