# material: nickel 
# electron heat capacity (DFT calculation not spin resolved) 
# temperature [K], heat capacity [J/(m^3K)] 
0806.34 5.328816e+05
0809.68 5.333669e+05
0813.02 5.339961e+05
0816.36 5.346222e+05
0819.70 5.350994e+05
0823.04 5.357179e+05
0826.38 5.361865e+05
0829.72 5.367949e+05
0833.06 5.372525e+05
0836.39 5.379926e+05
0839.73 5.384365e+05
0843.07 5.390170e+05
0846.41 5.394453e+05
0849.75 5.401521e+05
0853.09 5.405622e+05
0856.43 5.412490e+05
0859.77 5.416388e+05
0863.11 5.423034e+05
0866.44 5.426709e+05
0869.78 5.433115e+05
0873.12 5.439389e+05
0876.46 5.442689e+05
0879.80 5.450113e+05
0883.14 5.454555e+05
0886.48 5.458853e+05
0889.82 5.464417e+05
0893.16 5.469823e+05
0896.49 5.476476e+05
0899.83 5.480146e+05
0903.17 5.485058e+05
0906.51 5.491200e+05
0909.85 5.495760e+05
0913.19 5.501540e+05
0916.53 5.507131e+05
0919.87 5.511136e+05
0923.21 5.516345e+05
0926.54 5.522749e+05
0929.88 5.526167e+05
0933.22 5.533550e+05
0936.56 5.536559e+05
0939.90 5.542132e+05
0943.24 5.547489e+05
0946.58 5.552627e+05
0949.92 5.558921e+05
0953.26 5.562233e+05
0956.59 5.568073e+05
0959.93 5.573680e+05
0963.27 5.577680e+05
0966.61 5.584186e+05
0969.95 5.587711e+05
0973.29 5.593733e+05
0976.63 5.598141e+05
0979.97 5.603667e+05
0983.31 5.608941e+05
0986.64 5.613962e+05
0989.98 5.618728e+05
0993.32 5.624593e+05
0996.66 5.628842e+05
1000.00 5.634184e+05
1003.34 5.639261e+05
1006.68 5.644071e+05
1010.02 5.649961e+05
1013.36 5.654233e+05
1016.69 5.659578e+05
1020.03 5.664649e+05
1023.37 5.670784e+05
1026.71 5.673960e+05
1030.05 5.680874e+05
1033.39 5.684830e+05
1036.73 5.691174e+05
1040.07 5.694566e+05
1043.41 5.700338e+05
1046.74 5.705821e+05
1050.08 5.711013e+05
1053.42 5.715915e+05
1056.76 5.721849e+05
1060.10 5.726167e+05
1063.44 5.731513e+05
1066.78 5.736563e+05
1070.12 5.741318e+05
1073.46 5.747091e+05
1076.79 5.751251e+05
1080.13 5.757738e+05
1083.47 5.762610e+05
1086.81 5.767182e+05
1090.15 5.772760e+05
1093.49 5.778034e+05
1096.83 5.784307e+05
1100.17 5.787669e+05
1103.51 5.794631e+05
1106.84 5.798686e+05
1110.18 5.803734e+05
1113.52 5.809771e+05
1116.86 5.814203e+05
1120.20 5.820914e+05
1123.54 5.824731e+05
1126.88 5.830820e+05
1130.22 5.835310e+05
1133.56 5.842063e+05
1136.89 5.845933e+05
1140.23 5.852061e+05
1143.57 5.856595e+05
1146.91 5.863377e+05
1150.25 5.867288e+05
1153.59 5.873444e+05
1156.93 5.878010e+05
1160.27 5.884812e+05
1163.61 5.888754e+05
1166.94 5.894928e+05
1170.28 5.900785e+05
1173.62 5.905062e+05
1176.96 5.911560e+05
1180.30 5.916477e+05
1183.64 5.921083e+05
1186.98 5.927900e+05
1190.32 5.933139e+05
1193.66 5.938067e+05
1196.99 5.943940e+05
1200.33 5.949498e+05
1203.67 5.954744e+05
1207.01 5.959677e+05
1210.35 5.966800e+05
1213.69 5.971109e+05
1217.03 5.976357e+05
1220.37 5.983784e+05
1223.71 5.987162e+05
1227.05 5.993964e+05
1230.38 5.999209e+05
1233.72 6.005384e+05
