# material: nickel 
# electron-phonon coupling parameter G_ep (DFT calculation not spin resolved) 
# temperature [K], g_ep [W/(m^3K)] 
0804.67 2.613226e+18
0808.01 2.611167e+18
0811.35 2.609121e+18
0814.69 2.607088e+18
0818.03 2.605066e+18
0821.37 2.603057e+18
0824.71 2.601061e+18
0828.05 2.599076e+18
0831.39 2.597105e+18
0834.72 2.595146e+18
0838.06 2.593200e+18
0841.40 2.591266e+18
0844.74 2.589346e+18
0848.08 2.587438e+18
0851.42 2.585543e+18
0854.76 2.583661e+18
0858.10 2.581792e+18
0861.44 2.579936e+18
0864.77 2.578093e+18
0868.11 2.576264e+18
0871.45 2.574447e+18
0874.79 2.572644e+18
0878.13 2.570854e+18
0881.47 2.569077e+18
0884.81 2.567314e+18
0888.15 2.565564e+18
0891.49 2.563828e+18
0894.82 2.562105e+18
0898.16 2.560395e+18
0901.50 2.558699e+18
0904.84 2.557017e+18
0908.18 2.555348e+18
0911.52 2.553693e+18
0914.86 2.552052e+18
0918.20 2.550425e+18
0921.54 2.548811e+18
0924.87 2.547040e+18
0928.21 2.545141e+18
0931.55 2.543256e+18
0934.89 2.541383e+18
0938.23 2.539524e+18
0941.57 2.537677e+18
0944.91 2.535844e+18
0948.25 2.534024e+18
0951.59 2.532217e+18
0954.92 2.530423e+18
0958.26 2.528643e+18
0961.60 2.526875e+18
0964.94 2.525121e+18
0968.28 2.523381e+18
0971.62 2.521653e+18
0974.96 2.519939e+18
0978.30 2.518238e+18
0981.64 2.516550e+18
0984.97 2.514876e+18
0988.31 2.513215e+18
0991.65 2.511567e+18
0994.99 2.509933e+18
0998.33 2.508313e+18
1001.67 2.506705e+18
1005.01 2.505111e+18
1008.35 2.503531e+18
1011.69 2.501964e+18
1015.03 2.500410e+18
1018.36 2.498870e+18
1021.70 2.497344e+18
1025.04 2.495831e+18
1028.38 2.494331e+18
1031.72 2.492845e+18
1035.06 2.491373e+18
1038.40 2.489914e+18
1041.74 2.488469e+18
1045.08 2.487037e+18
1048.41 2.485619e+18
1051.75 2.484214e+18
1055.09 2.482823e+18
1058.43 2.481446e+18
1061.77 2.480082e+18
1065.11 2.478732e+18
1068.45 2.477396e+18
1071.79 2.476073e+18
1075.13 2.474764e+18
1078.46 2.473468e+18
1081.80 2.472186e+18
1085.14 2.470918e+18
1088.48 2.469664e+18
1091.82 2.468423e+18
1095.16 2.467196e+18
1098.50 2.465983e+18
1101.84 2.464783e+18
1105.18 2.463598e+18
1108.51 2.462425e+18
1111.85 2.461267e+18
1115.19 2.460123e+18
1118.53 2.458992e+18
1121.87 2.457875e+18
1125.21 2.456772e+18
1128.55 2.455682e+18
1131.89 2.454607e+18
1135.23 2.453545e+18
1138.56 2.452497e+18
1141.90 2.451463e+18
1145.24 2.450442e+18
1148.58 2.449436e+18
1151.92 2.448443e+18
1155.26 2.447465e+18
1158.60 2.446500e+18
1161.94 2.445549e+18
1165.28 2.444611e+18
1168.61 2.443688e+18
1171.95 2.442779e+18
1175.29 2.441883e+18
1178.63 2.441002e+18
1181.97 2.440110e+18
1185.31 2.439232e+18
1188.65 2.438367e+18
1191.99 2.437517e+18
1195.33 2.436680e+18
1198.66 2.435858e+18
1202.00 2.435049e+18
1205.34 2.434254e+18
1208.68 2.433473e+18
1212.02 2.432706e+18
1215.36 2.431953e+18
1218.70 2.431214e+18
1222.04 2.430488e+18
1225.38 2.429777e+18
1228.71 2.429080e+18
1232.05 2.428396e+18
1235.39 2.427727e+18
1238.73 2.427072e+18
1242.07 2.426430e+18
1245.41 2.425803e+18
1248.75 2.425190e+18
1252.09 2.424590e+18
1255.43 2.424005e+18
1258.76 2.423434e+18
1262.10 2.422877e+18
1265.44 2.422334e+18
1268.78 2.421805e+18
1272.12 2.421290e+18
1275.46 2.420789e+18
1278.80 2.420303e+18
1282.14 2.419830e+18
1285.48 2.419372e+18
1288.81 2.418928e+18
1292.15 2.418498e+18
1295.49 2.418083e+18
1298.83 2.417681e+18
1302.17 2.417294e+18
1305.51 2.416921e+18
1308.85 2.416562e+18
1312.19 2.416217e+18
1315.53 2.415887e+18
1318.86 2.415571e+18
1322.20 2.415270e+18
1325.54 2.414982e+18
1328.88 2.414710e+18
1332.22 2.414451e+18
1335.56 2.414207e+18
1338.90 2.413977e+18
1342.24 2.413762e+18
1345.58 2.413561e+18
1348.91 2.413374e+18
1352.25 2.413202e+18
1355.59 2.413045e+18
1358.93 2.412902e+18
1362.27 2.412773e+18
1365.61 2.412659e+18
1368.95 2.412560e+18
1372.29 2.412475e+18
1375.63 2.412405e+18
1378.96 2.412349e+18
1382.30 2.412308e+18
1385.64 2.412282e+18
1388.98 2.412270e+18
1392.32 2.412273e+18
1395.66 2.412291e+18
1399.00 2.412324e+18
1402.34 2.412371e+18
1405.68 2.412433e+18
1409.02 2.412140e+18
1412.35 2.411555e+18
1415.69 2.410981e+18
1419.03 2.410421e+18
1422.37 2.409872e+18
1425.71 2.409336e+18
1429.05 2.408813e+18
1432.39 2.408301e+18
1435.73 2.407802e+18
1439.07 2.407315e+18
1442.40 2.406841e+18
1445.74 2.406379e+18
1449.08 2.405930e+18
1452.42 2.405493e+18
1455.76 2.405068e+18
1459.10 2.404655e+18
1462.44 2.404255e+18
1465.78 2.403868e+18
1469.12 2.403492e+18
1472.45 2.403130e+18
1475.79 2.402779e+18
1479.13 2.402441e+18
1482.47 2.402115e+18
1485.81 2.401802e+18
1489.15 2.401501e+18
1492.49 2.401213e+18
1495.83 2.400937e+18
1499.17 2.400674e+18
