# material: nickel 
# phonon heat capacity (DFT calculation not spin resolved) 
# temperature [K], heat capacity [J/(m^3K)] 
0806.34 3.738018e+06
0809.68 3.738400e+06
0813.02 3.738778e+06
0816.36 3.739152e+06
0819.70 3.739521e+06
0823.04 3.739886e+06
0826.38 3.740246e+06
0829.72 3.740602e+06
0833.06 3.740954e+06
0836.39 3.741301e+06
0839.73 3.741645e+06
0843.07 3.741984e+06
0846.41 3.742320e+06
0849.75 3.742651e+06
0853.09 3.742979e+06
0856.43 3.743303e+06
0859.77 3.743623e+06
0863.11 3.743940e+06
0866.44 3.744253e+06
0869.78 3.744562e+06
0873.12 3.744868e+06
0876.46 3.745170e+06
0879.80 3.745470e+06
0883.14 3.745765e+06
0886.48 3.746058e+06
0889.82 3.746347e+06
0893.16 3.746633e+06
0896.49 3.746916e+06
0899.83 3.747195e+06
0903.17 3.747472e+06
0906.51 3.747745e+06
0909.85 3.748016e+06
0913.19 3.748284e+06
0916.53 3.748549e+06
0919.87 3.748811e+06
0923.21 3.749070e+06
0926.54 3.749326e+06
0929.88 3.749580e+06
0933.22 3.749831e+06
0936.56 3.750079e+06
0939.90 3.750325e+06
0943.24 3.750568e+06
0946.58 3.750808e+06
0949.92 3.751046e+06
0953.26 3.751282e+06
0956.59 3.751515e+06
0959.93 3.751746e+06
0963.27 3.751974e+06
0966.61 3.752200e+06
0969.95 3.752424e+06
0973.29 3.752645e+06
0976.63 3.752864e+06
0979.97 3.753081e+06
0983.31 3.753296e+06
0986.64 3.753509e+06
0989.98 3.753719e+06
0993.32 3.753928e+06
0996.66 3.754134e+06
1000.00 3.754338e+06
1003.34 3.754540e+06
1006.68 3.754741e+06
1010.02 3.754939e+06
1013.36 3.755135e+06
1016.69 3.755330e+06
1020.03 3.755522e+06
1023.37 3.755713e+06
1026.71 3.755902e+06
1030.05 3.756089e+06
1033.39 3.756274e+06
1036.73 3.756457e+06
1040.07 3.756639e+06
1043.41 3.756819e+06
1046.74 3.756997e+06
1050.08 3.757174e+06
1053.42 3.757349e+06
1056.76 3.757522e+06
1060.10 3.757694e+06
1063.44 3.757864e+06
1066.78 3.758032e+06
1070.12 3.758199e+06
1073.46 3.758364e+06
1076.79 3.758528e+06
1080.13 3.758691e+06
1083.47 3.758851e+06
1086.81 3.759011e+06
1090.15 3.759169e+06
1093.49 3.759325e+06
1096.83 3.759480e+06
1100.17 3.759634e+06
1103.51 3.759786e+06
1106.84 3.759937e+06
1110.18 3.760087e+06
1113.52 3.760235e+06
1116.86 3.760382e+06
1120.20 3.760527e+06
1123.54 3.760672e+06
1126.88 3.760815e+06
1130.22 3.760957e+06
1133.56 3.761097e+06
1136.89 3.761236e+06
1140.23 3.761375e+06
1143.57 3.761511e+06
1146.91 3.761647e+06
1150.25 3.761782e+06
1153.59 3.761915e+06
1156.93 3.762047e+06
1160.27 3.762178e+06
1163.61 3.762308e+06
1166.94 3.762437e+06
1170.28 3.762565e+06
1173.62 3.762692e+06
1176.96 3.762817e+06
1180.30 3.762942e+06
1183.64 3.763065e+06
1186.98 3.763188e+06
1190.32 3.763309e+06
1193.66 3.763430e+06
1196.99 3.763549e+06
1200.33 3.763668e+06
1203.67 3.763785e+06
1207.01 3.763902e+06
1210.35 3.764017e+06
1213.69 3.764132e+06
1217.03 3.764246e+06
1220.37 3.764358e+06
1223.71 3.764470e+06
1227.05 3.764581e+06
1230.38 3.764691e+06
1233.72 3.764800e+06
1237.06 3.764909e+06
1240.40 3.765016e+06
1243.74 3.765123e+06
1247.08 3.765228e+06
1250.42 3.765333e+06
1253.76 3.765437e+06
1257.10 3.765540e+06
1260.43 3.765643e+06
1263.77 3.765744e+06
1267.11 3.765845e+06
1270.45 3.765945e+06
1273.79 3.766044e+06
1277.13 3.766143e+06
1280.47 3.766240e+06
1283.81 3.766337e+06
1287.15 3.766433e+06
1290.48 3.766529e+06
1293.82 3.766623e+06
1297.16 3.766717e+06
1300.50 3.766811e+06
1303.84 3.766903e+06
1307.18 3.766995e+06
1310.52 3.767086e+06
1313.86 3.767176e+06
1317.20 3.767266e+06
1320.53 3.767355e+06
1323.87 3.767444e+06
1327.21 3.767531e+06
1330.55 3.767619e+06
1333.89 3.767705e+06
1337.23 3.767791e+06
1340.57 3.767876e+06
1343.91 3.767960e+06
1347.25 3.768044e+06
1350.58 3.768128e+06
1353.92 3.768210e+06
1357.26 3.768292e+06
1360.60 3.768374e+06
1363.94 3.768455e+06
1367.28 3.768535e+06
1370.62 3.768615e+06
1373.96 3.768694e+06
1377.30 3.768772e+06
1380.63 3.768850e+06
1383.97 3.768928e+06
1387.31 3.769004e+06
1390.65 3.769081e+06
1393.99 3.769157e+06
1397.33 3.769232e+06
1400.67 3.769306e+06
1404.01 3.769381e+06
1407.35 3.769454e+06
1410.68 3.769527e+06
1414.02 3.769600e+06
1417.36 3.769672e+06
1420.70 3.769744e+06
1424.04 3.769815e+06
1427.38 3.769885e+06
1430.72 3.769955e+06
1434.06 3.770025e+06
1437.40 3.770094e+06
1440.73 3.770163e+06
1444.07 3.770231e+06
1447.41 3.770299e+06
1450.75 3.770366e+06
1454.09 3.770433e+06
1457.43 3.770499e+06
1460.77 3.770565e+06
1464.11 3.770630e+06
1467.45 3.770695e+06
1470.78 3.770760e+06
1474.12 3.770824e+06
1477.46 3.770887e+06
1480.80 3.770951e+06
1484.14 3.771013e+06
1487.48 3.771076e+06
1490.82 3.771138e+06
1494.16 3.771199e+06
1497.50 3.771261e+06
1500.83 3.771321e+06
1504.17 3.771382e+06
1507.51 3.771442e+06
1510.85 3.771501e+06
1514.19 3.771560e+06
1517.53 3.771619e+06
1520.87 3.771677e+06
1524.21 3.771735e+06
1527.55 3.771793e+06
1530.88 3.771850e+06
1534.22 3.771907e+06
1537.56 3.771964e+06
1540.90 3.772020e+06
1544.24 3.772076e+06
1547.58 3.772131e+06
1550.92 3.772186e+06
1554.26 3.772241e+06
1557.60 3.772295e+06
1560.93 3.772349e+06
1564.27 3.772403e+06
1567.61 3.772456e+06
1570.95 3.772509e+06
1574.29 3.772562e+06
1577.63 3.772614e+06
1580.97 3.772666e+06
1584.31 3.772718e+06
1587.65 3.772769e+06
1590.98 3.772820e+06
1594.32 3.772871e+06
1597.66 3.772921e+06
1601.00 3.772971e+06
1604.34 3.773021e+06
1607.68 3.773070e+06
1611.02 3.773120e+06
1614.36 3.773168e+06
1617.70 3.773217e+06
1621.04 3.773265e+06
1624.37 3.773313e+06
1627.71 3.773361e+06
1631.05 3.773408e+06
1634.39 3.773455e+06
1637.73 3.773502e+06
1641.07 3.773548e+06
1644.41 3.773595e+06
1647.75 3.773641e+06
1651.09 3.773686e+06
1654.42 3.773732e+06
1657.76 3.773777e+06
1661.10 3.773821e+06
1664.44 3.773866e+06
1667.78 3.773910e+06
1671.12 3.773954e+06
1674.46 3.773998e+06
1677.80 3.774042e+06
1681.14 3.774085e+06
1684.47 3.774128e+06
1687.81 3.774171e+06
1691.15 3.774213e+06
1694.49 3.774255e+06
1697.83 3.774297e+06
1701.17 3.774339e+06
1704.51 3.774381e+06
1707.85 3.774422e+06
1711.19 3.774463e+06
1714.52 3.774504e+06
1717.86 3.774544e+06
1721.20 3.774585e+06
1724.54 3.774625e+06
1727.88 3.774664e+06
1731.22 3.774704e+06
1734.56 3.774743e+06
1737.90 3.774783e+06
1741.24 3.774822e+06
1744.57 3.774860e+06
1747.91 3.774899e+06
1751.25 3.774937e+06
1754.59 3.774975e+06
1757.93 3.775013e+06
1761.27 3.775051e+06
1764.61 3.775088e+06
1767.95 3.775125e+06
1771.29 3.775162e+06
1774.62 3.775199e+06
1777.96 3.775235e+06
1781.30 3.775272e+06
1784.64 3.775308e+06
1787.98 3.775344e+06
1791.32 3.775380e+06
1794.66 3.775415e+06
1798.00 3.775451e+06
1801.34 3.775486e+06
1804.67 3.775521e+06
1808.01 3.775556e+06
1811.35 3.775590e+06
1814.69 3.775625e+06
1818.03 3.775659e+06
1821.37 3.775693e+06
1824.71 3.775727e+06
1828.05 3.775760e+06
1831.39 3.775794e+06
1834.72 3.775827e+06
1838.06 3.775860e+06
1841.40 3.775893e+06
1844.74 3.775926e+06
1848.08 3.775958e+06
1851.42 3.775991e+06
1854.76 3.776023e+06
1858.10 3.776055e+06
1861.44 3.776087e+06
1864.77 3.776119e+06
1868.11 3.776150e+06
1871.45 3.776182e+06
1874.79 3.776213e+06
1878.13 3.776244e+06
1881.47 3.776275e+06
1884.81 3.776305e+06
1888.15 3.776336e+06
1891.49 3.776366e+06
1894.82 3.776397e+06
1898.16 3.776427e+06
1901.50 3.776457e+06
1904.84 3.776486e+06
1908.18 3.776516e+06
1911.52 3.776545e+06
1914.86 3.776575e+06
1918.20 3.776604e+06
1921.54 3.776633e+06
1924.87 3.776662e+06
1928.21 3.776690e+06
1931.55 3.776719e+06
1934.89 3.776747e+06
1938.23 3.776776e+06
1941.57 3.776804e+06
1944.91 3.776832e+06
1948.25 3.776859e+06
1951.59 3.776887e+06
1954.92 3.776915e+06
1958.26 3.776942e+06
1961.60 3.776969e+06
1964.94 3.776996e+06
1968.28 3.777023e+06
1971.62 3.777050e+06
1974.96 3.777077e+06
1978.30 3.777103e+06
1981.64 3.777130e+06
1984.97 3.777156e+06
1988.31 3.777182e+06
1991.65 3.777208e+06
1994.99 3.777234e+06
1998.33 3.777260e+06
