# material: iron 
# electron heat capacity , sum of majority and minority contributions (DFT calculation spin resolved) 
# temperature [K], heat capacity [J/(m^3K)] 
0806.34 2.498134e+05
0809.68 2.507090e+05
0813.02 2.516925e+05
0816.36 2.525331e+05
0819.70 2.534248e+05
0823.04 2.544022e+05
0826.38 2.552659e+05
0829.72 2.561479e+05
0833.06 2.571134e+05
0836.39 2.580296e+05
0839.73 2.588302e+05
0843.07 2.598402e+05
0846.41 2.607372e+05
0849.75 2.616795e+05
0853.09 2.625351e+05
0856.43 2.635042e+05
0859.77 2.643856e+05
0863.11 2.652789e+05
0866.44 2.661836e+05
0869.78 2.671302e+05
0873.12 2.680527e+05
0876.46 2.689225e+05
0879.80 2.698949e+05
0883.14 2.708133e+05
0886.48 2.717031e+05
0889.82 2.726679e+05
0893.16 2.734757e+05
0896.49 2.744826e+05
0899.83 2.754323e+05
0903.17 2.762554e+05
0906.51 2.772444e+05
0909.85 2.781413e+05
0913.19 2.791048e+05
0916.53 2.800399e+05
0919.87 2.808800e+05
0923.21 2.818830e+05
0926.54 2.827901e+05
0929.88 2.837313e+05
0933.22 2.846719e+05
0936.56 2.855486e+05
0939.90 2.864893e+05
0943.24 2.874925e+05
0946.58 2.883662e+05
0949.92 2.893024e+05
0953.26 2.902683e+05
0956.59 2.911992e+05
0959.93 2.921590e+05
0963.27 2.930197e+05
0966.61 2.940041e+05
0969.95 2.949521e+05
0973.29 2.959591e+05
0976.63 2.968018e+05
0979.97 2.978299e+05
0983.31 2.987249e+05
0986.64 2.996773e+05
0989.98 3.006229e+05
0993.32 3.016250e+05
0996.66 3.025882e+05
1000.00 3.034482e+05
1003.34 3.044904e+05
1006.68 3.054293e+05
1010.02 3.063592e+05
1013.36 3.073116e+05
1016.69 3.082863e+05
1020.03 3.092827e+05
1023.37 3.102056e+05
1026.71 3.111818e+05
1030.05 3.121467e+05
1033.39 3.131642e+05
1036.73 3.140747e+05
1040.07 3.151000e+05
1043.41 3.160498e+05
1046.74 3.169884e+05
1050.08 3.180388e+05
1053.42 3.190149e+05
1056.76 3.199770e+05
1060.10 3.209247e+05
1063.44 3.219547e+05
1066.78 3.228750e+05
1070.12 3.239069e+05
1073.46 3.249232e+05
1076.79 3.258638e+05
1080.13 3.269125e+05
1083.47 3.278853e+05
1086.81 3.288708e+05
1090.15 3.298745e+05
1093.49 3.308608e+05
1096.83 3.318618e+05
1100.17 3.329391e+05
1103.51 3.339069e+05
1106.84 3.348888e+05
1110.18 3.359460e+05
1113.52 3.368608e+05
1116.86 3.379772e+05
1120.20 3.389796e+05
1123.54 3.399332e+05
1126.88 3.410260e+05
1130.22 3.420655e+05
1133.56 3.429943e+05
1136.89 3.441228e+05
1140.23 3.450748e+05
1143.57 3.461605e+05
1146.91 3.471674e+05
1150.25 3.481853e+05
1153.59 3.492748e+05
1156.93 3.502807e+05
1160.27 3.513295e+05
1163.61 3.523554e+05
1166.94 3.534238e+05
1170.28 3.544408e+05
1173.62 3.555279e+05
1176.96 3.565911e+05
1180.30 3.576353e+05
1183.64 3.586882e+05
1186.98 3.597495e+05
1190.32 3.608191e+05
1193.66 3.618032e+05
1196.99 3.629822e+05
1200.33 3.640149e+05
1203.67 3.650551e+05
1207.01 3.661630e+05
1210.35 3.672177e+05
1213.69 3.682793e+05
1217.03 3.693808e+05
1220.37 3.704558e+05
1223.71 3.715703e+05
1227.05 3.726579e+05
1230.38 3.737248e+05
1233.72 3.748243e+05
1237.06 3.759029e+05
1240.40 3.770470e+05
1243.74 3.781366e+05
1247.08 3.791982e+05
1250.42 3.803315e+05
1253.76 3.814366e+05
1257.10 3.825464e+05
1260.43 3.836347e+05
1263.77 3.847537e+05
1267.11 3.858771e+05
1270.45 3.870381e+05
1273.79 3.881102e+05
1277.13 3.892533e+05
1280.47 3.903927e+05
1283.81 3.914506e+05
1287.15 3.926641e+05
1290.48 3.937548e+05
1293.82 3.949158e+05
1297.16 3.960465e+05
1300.50 3.972137e+05
1303.84 3.983503e+05
1307.18 3.994979e+05
1310.52 4.006400e+05
1313.86 4.017594e+05
1317.20 4.029401e+05
1320.53 4.041231e+05
1323.87 4.052832e+05
1327.21 4.064118e+05
1330.55 4.075424e+05
1333.89 4.088011e+05
1337.23 4.099354e+05
1340.57 4.110467e+05
1343.91 4.123104e+05
1347.25 4.134496e+05
1350.58 4.146577e+05
1353.92 4.158087e+05
1357.26 4.170440e+05
1360.60 4.181974e+05
1363.94 4.193520e+05
1367.28 4.205902e+05
1370.62 4.218144e+05
1373.96 4.229377e+05
1377.30 4.241877e+05
1380.63 4.254383e+05
1383.97 4.265973e+05
1387.31 4.277908e+05
1390.65 4.290187e+05
1393.99 4.302368e+05
1397.33 4.314993e+05
1400.67 4.326019e+05
1404.01 4.339803e+05
1407.35 4.351171e+05
1410.68 4.363456e+05
1414.02 4.376082e+05
1417.36 4.388023e+05
1420.70 4.400409e+05
1424.04 4.413261e+05
1427.38 4.425299e+05
1430.72 4.438483e+05
1434.06 4.449935e+05
1437.40 4.463107e+05
1440.73 4.475465e+05
1444.07 4.487817e+05
1447.41 4.500392e+05
1450.75 4.513644e+05
1454.09 4.525972e+05
1457.43 4.538290e+05
1460.77 4.551514e+05
1464.11 4.563812e+05
1467.45 4.576787e+05
1470.78 4.589634e+05
1474.12 4.602015e+05
1477.46 4.615525e+05
1480.80 4.628108e+05
1484.14 4.641022e+05
1487.48 4.653923e+05
1490.82 4.666809e+05
1494.16 4.680026e+05
1497.50 4.692315e+05
1500.83 4.706069e+05
1504.17 4.718672e+05
1507.51 4.732173e+05
1510.85 4.745311e+05
1514.19 4.757866e+05
1517.53 4.771316e+05
1520.87 4.784748e+05
1524.21 4.797943e+05
1527.55 4.810774e+05
1530.88 4.824151e+05
1534.22 4.837638e+05
1537.56 4.850976e+05
1540.90 4.864425e+05
1544.24 4.877507e+05
1547.58 4.891479e+05
1550.92 4.903958e+05
1554.26 4.918237e+05
1557.60 4.931023e+05
1560.93 4.945260e+05
1564.27 4.958565e+05
1567.61 4.971984e+05
1570.95 4.985806e+05
1574.29 4.999182e+05
1577.63 5.013096e+05
1580.97 5.026428e+05
1584.31 5.040506e+05
1587.65 5.053583e+05
1590.98 5.068313e+05
1594.32 5.081552e+05
1597.66 5.095469e+05
1601.00 5.109218e+05
1604.34 5.122530e+05
1607.68 5.137488e+05
1611.02 5.150751e+05
1614.36 5.164547e+05
1617.70 5.179225e+05
1621.04 5.192415e+05
1624.37 5.207042e+05
1627.71 5.220885e+05
1631.05 5.235461e+05
1634.39 5.248347e+05
1637.73 5.263222e+05
1641.07 5.277316e+05
1644.41 5.291585e+05
1647.75 5.305627e+05
1651.09 5.320196e+05
1654.42 5.334185e+05
1657.76 5.348700e+05
1661.10 5.362437e+05
1664.44 5.377251e+05
1667.78 5.391486e+05
1671.12 5.405498e+05
1674.46 5.420583e+05
1677.80 5.434540e+05
1681.14 5.449570e+05
1684.47 5.463472e+05
1687.81 5.478056e+05
1691.15 5.492453e+05
1694.49 5.507530e+05
1697.83 5.521483e+05
1701.17 5.537052e+05
1704.51 5.550949e+05
1707.85 5.565365e+05
1711.19 5.581011e+05
1714.52 5.594823e+05
1717.86 5.609866e+05
1721.20 5.624523e+05
1724.54 5.639864e+05
1727.88 5.654274e+05
