# material: nickel 
# electron heat capacity , sum of majority and minority contributions (DFT calculation spin resolved) 
# temperature [K], heat capacity [J/(m^3K)] 
0806.34 4.163095e+05
0809.68 4.176478e+05
0813.02 4.191609e+05
0816.36 4.205783e+05
0819.70 4.219734e+05
0823.04 4.234130e+05
0826.38 4.248288e+05
0829.72 4.262806e+05
0833.06 4.276999e+05
0836.39 4.290394e+05
0839.73 4.305267e+05
0843.07 4.318719e+05
0846.41 4.333097e+05
0849.75 4.346506e+05
0853.09 4.360825e+05
0856.43 4.374299e+05
0859.77 4.388667e+05
0863.11 4.402035e+05
0866.44 4.415677e+05
0869.78 4.429654e+05
0873.12 4.443821e+05
0876.46 4.456419e+05
0879.80 4.471150e+05
0883.14 4.483622e+05
0886.48 4.498143e+05
0889.82 4.511135e+05
0893.16 4.524202e+05
0896.49 4.538223e+05
0899.83 4.551161e+05
0903.17 4.564898e+05
0906.51 4.578214e+05
0909.85 4.591710e+05
0913.19 4.604770e+05
0916.53 4.617995e+05
0919.87 4.630770e+05
0923.21 4.644305e+05
0926.54 4.657306e+05
0929.88 4.670515e+05
0933.22 4.683855e+05
0936.56 4.696712e+05
0939.90 4.709617e+05
0943.24 4.722095e+05
0946.58 4.735823e+05
0949.92 4.748504e+05
0953.26 4.761276e+05
0956.59 4.773995e+05
0959.93 4.786931e+05
0963.27 4.799871e+05
0966.61 4.812339e+05
0969.95 4.825336e+05
0973.29 4.837919e+05
0976.63 4.851018e+05
0979.97 4.863082e+05
0983.31 4.875652e+05
0986.64 4.888929e+05
0989.98 4.901084e+05
0993.32 4.913656e+05
0996.66 4.925842e+05
1000.00 4.938434e+05
1003.34 4.951236e+05
1006.68 4.963216e+05
1010.02 4.975933e+05
1013.36 4.988027e+05
1016.69 5.000568e+05
1020.03 5.013222e+05
1023.37 5.025096e+05
1026.71 5.037002e+05
1030.05 5.050151e+05
1033.39 5.061219e+05
1036.73 5.074267e+05
1040.07 5.086508e+05
1043.41 5.098078e+05
1046.74 5.110865e+05
1050.08 5.122292e+05
1053.42 5.134925e+05
1056.76 5.146728e+05
1060.10 5.158511e+05
1063.44 5.170809e+05
1066.78 5.182400e+05
1070.12 5.195034e+05
1073.46 5.206413e+05
1076.79 5.218218e+05
1080.13 5.230583e+05
1083.47 5.242078e+05
1086.81 5.254194e+05
1090.15 5.266040e+05
1093.49 5.277211e+05
1096.83 5.289458e+05
1100.17 5.301560e+05
1103.51 5.312766e+05
1106.84 5.324566e+05
1110.18 5.336746e+05
1113.52 5.348156e+05
1116.86 5.359400e+05
1120.20 5.371619e+05
1123.54 5.382518e+05
1126.88 5.394993e+05
1130.22 5.406138e+05
1133.56 5.417565e+05
1136.89 5.428871e+05
1140.23 5.440590e+05
1143.57 5.452718e+05
1146.91 5.463358e+05
1150.25 5.475007e+05
1153.59 5.487054e+05
1156.93 5.497672e+05
1160.27 5.509217e+05
1163.61 5.521218e+05
1166.94 5.531779e+05
1170.28 5.543794e+05
1173.62 5.555109e+05
1176.96 5.566049e+05
1180.30 5.577426e+05
1183.64 5.588491e+05
1186.98 5.600524e+05
1190.32 5.611092e+05
1193.66 5.622553e+05
1196.99 5.633896e+05
1200.33 5.644770e+05
1203.67 5.656127e+05
1207.01 5.667079e+05
1210.35 5.679044e+05
1213.69 5.689453e+05
1217.03 5.700870e+05
1220.37 5.711868e+05
1223.71 5.722654e+05
1227.05 5.734367e+05
1230.38 5.745047e+05
1233.72 5.756180e+05
1237.06 5.766881e+05
1240.40 5.778566e+05
1243.74 5.788669e+05
1247.08 5.800287e+05
1250.42 5.811530e+05
1253.76 5.821928e+05
1257.10 5.833157e+05
1260.43 5.844071e+05
1263.77 5.855204e+05
1267.11 5.866088e+05
1270.45 5.876509e+05
1273.79 5.887956e+05
1277.13 5.898261e+05
1280.47 5.909586e+05
1283.81 5.920507e+05
1287.15 5.931024e+05
1290.48 5.942414e+05
1293.82 5.952857e+05
1297.16 5.963562e+05
1300.50 5.974458e+05
1303.84 5.985005e+05
1307.18 5.996343e+05
1310.52 6.006187e+05
1313.86 6.017957e+05
1317.20 6.028299e+05
1320.53 6.038676e+05
1323.87 6.049971e+05
1327.21 6.060297e+05
1330.55 6.070860e+05
1333.89 6.082125e+05
1337.23 6.092414e+05
1340.57 6.103003e+05
1343.91 6.113683e+05
1347.25 6.124659e+05
1350.58 6.135185e+05
1353.92 6.145864e+05
1357.26 6.156229e+05
1360.60 6.166742e+05
1363.94 6.178006e+05
1367.28 6.187672e+05
1370.62 6.198758e+05
1373.96 6.209450e+05
1377.30 6.220210e+05
1380.63 6.230572e+05
1383.97 6.240605e+05
1387.31 6.251907e+05
1390.65 6.261669e+05
1393.99 6.272765e+05
1397.33 6.283315e+05
1400.67 6.293596e+05
1404.01 6.304000e+05
1407.35 6.315057e+05
1410.68 6.325167e+05
1414.02 6.335465e+05
