#
# ABINIT package : DOS file  
#
# nsppol = 2, nkpt = 1734, nband(1)=  22
# Tetrahedron method
# For identification : eigen(1:3)=  -3.090  -3.088  -1.747
#
# Fermi energy :       0.43796871
#
# The DOS (in electrons/Hartree/cell) and integrated DOS (in electrons/cell) are computed,
# at  8801 energies (in Hartree) covering the interval 
# between   -3.1000 and    1.3000 Hartree by steps of  0.00050 Hartree.
#
#                Spin-up DOS
# energy(Ha)     DOS  integrated DOS
   -3.01300     0.0000     2.0000
   -3.01250     0.0000     2.0000
   -3.01200     0.0000     2.0000
   -3.01150     0.0000     2.0000
   -3.01100     0.0000     2.0000
   -3.01050     0.0000     2.0000
   -3.01000     0.0000     2.0000
   -3.00950     0.0000     2.0000
   -3.00900     0.0000     2.0000
   -3.00850     0.0000     2.0000
   -3.00800     0.0000     2.0000
   -3.00750     0.0000     2.0000
   -3.00700     0.0000     2.0000
   -3.00650     0.0000     2.0000
   -3.00600     0.0000     2.0000
   -3.00550     0.0000     2.0000
   -3.00500     0.0000     2.0000
   -3.00450     0.0000     2.0000
   -3.00400     0.0000     2.0000
   -3.00350     0.0000     2.0000
   -3.00300     0.0000     2.0000
   -3.00250     0.0000     2.0000
   -3.00200     0.0000     2.0000
   -3.00150     0.0000     2.0000
   -3.00100     0.0000     2.0000
   -3.00050     0.0000     2.0000
   -3.00000     0.0000     2.0000
   -2.99950     0.0000     2.0000
   -2.99900     0.0000     2.0000
   -2.99850     0.0000     2.0000
   -2.99800     0.0000     2.0000
   -2.99750     0.0000     2.0000
   -2.99700     0.0000     2.0000
   -2.99650     0.0000     2.0000
   -2.99600     0.0000     2.0000
   -2.99550     0.0000     2.0000
   -2.99500     0.0000     2.0000
   -2.99450     0.0000     2.0000
   -2.99400     0.0000     2.0000
   -2.99350     0.0000     2.0000
   -2.99300     0.0000     2.0000
   -2.99250     0.0000     2.0000
   -2.99200     0.0000     2.0000
   -2.99150     0.0000     2.0000
   -2.99100     0.0000     2.0000
   -2.99050     0.0000     2.0000
   -2.99000     0.0000     2.0000
   -2.98950     0.0000     2.0000
   -2.98900     0.0000     2.0000
   -2.98850     0.0000     2.0000
   -2.98800     0.0000     2.0000
   -2.98750     0.0000     2.0000
   -2.98700     0.0000     2.0000
   -2.98650     0.0000     2.0000
   -2.98600     0.0000     2.0000
   -2.98550     0.0000     2.0000
   -2.98500     0.0000     2.0000
   -2.98450     0.0000     2.0000
   -2.98400     0.0000     2.0000
   -2.98350     0.0000     2.0000
   -2.98300     0.0000     2.0000
   -2.98250     0.0000     2.0000
   -2.98200     0.0000     2.0000
   -2.98150     0.0000     2.0000
   -2.98100     0.0000     2.0000
   -2.98050     0.0000     2.0000
   -2.98000     0.0000     2.0000
   -2.97950     0.0000     2.0000
   -2.97900     0.0000     2.0000
   -2.97850     0.0000     2.0000
   -2.97800     0.0000     2.0000
   -2.97750     0.0000     2.0000
   -2.97700     0.0000     2.0000
   -2.97650     0.0000     2.0000
   -2.97600     0.0000     2.0000
   -2.97550     0.0000     2.0000
   -2.97500     0.0000     2.0000
   -2.97450     0.0000     2.0000
   -2.97400     0.0000     2.0000
   -2.97350     0.0000     2.0000
   -2.97300     0.0000     2.0000
   -2.97250     0.0000     2.0000
   -2.97200     0.0000     2.0000
   -2.97150     0.0000     2.0000
   -2.97100     0.0000     2.0000
   -2.97050     0.0000     2.0000
   -2.97000     0.0000     2.0000
   -2.96950     0.0000     2.0000
   -2.96900     0.0000     2.0000
   -2.96850     0.0000     2.0000
   -2.96800     0.0000     2.0000
   -2.96750     0.0000     2.0000
   -2.96700     0.0000     2.0000
   -2.96650     0.0000     2.0000
   -2.96600     0.0000     2.0000
   -2.96550     0.0000     2.0000
   -2.96500     0.0000     2.0000
   -2.96450     0.0000     2.0000
   -2.96400     0.0000     2.0000
   -2.96350     0.0000     2.0000
   -2.96300     0.0000     2.0000
   -2.96250     0.0000     2.0000
   -2.96200     0.0000     2.0000
   -2.96150     0.0000     2.0000
   -2.96100     0.0000     2.0000
   -2.96050     0.0000     2.0000
   -2.96000     0.0000     2.0000
   -2.95950     0.0000     2.0000
   -2.95900     0.0000     2.0000
   -2.95850     0.0000     2.0000
   -2.95800     0.0000     2.0000
   -2.95750     0.0000     2.0000
   -2.95700     0.0000     2.0000
   -2.95650     0.0000     2.0000
   -2.95600     0.0000     2.0000
   -2.95550     0.0000     2.0000
   -2.95500     0.0000     2.0000
   -2.95450     0.0000     2.0000
   -2.95400     0.0000     2.0000
   -2.95350     0.0000     2.0000
   -2.95300     0.0000     2.0000
   -2.95250     0.0000     2.0000
   -2.95200     0.0000     2.0000
   -2.95150     0.0000     2.0000
   -2.95100     0.0000     2.0000
   -2.95050     0.0000     2.0000
   -2.95000     0.0000     2.0000
